id,nombre,email,edad,ciudad
1,Juan Pérez,juan@email.com,28,Lima
2,María García,maria@email.com,34,Arequipa
3,Carlos López,carlos@email.com,25,Cusco
4,Ana Torres,ana@email.com,31,Lima
5,Luis Ramírez,luis@email.com,29,Trujillo
6,Sofia Mendez,sofia@email.com,27,Lima
7,Diego Castro,diego@email.com,35,Piura
8,Laura Flores,laura@email.com,26,Lima
9,Miguel Rojas,miguel@email.com,32,Chiclayo
10,Carla Vega,carla@email.com,30,Lima
11,Pedro Sánchez,pedro@email.com,28,Ica
12,Lucia Morales,lucia@email.com,33,Lima
13,Roberto Silva,roberto@email.com,24,Tacna
14,Elena Quispe,elena@email.com,29,Puno
15,Fernando Diaz,fernando@email.com,36,Lima
